domain c0 c1 c2 c3 c4
---------------------
nsp2-d3 99.5 0.4 0.1 0 0
nsp4-d2 19 19 12 9 6
nsp4-d3 19 12 10 7 6
nsp6-d2 15 13 10 6 6
orf3a-d2 16 16 12 8 8
orf6 33 12 8 6 6 
orf7b 19 7 4 3 3
orf8 19 17 16 15 6
orf10 36 18 17 8 7
membrane_pro-d1 31 17 8 7 4
membrane_pro-d2 90 3 1 0.5 0.4
NS8A_CVHSA 60 15 11 04 02
NS8B_CVHSA 16 16 14 08 07
Y14_CVHSA 24 15 15 13 05
Y14_SARS2 23 13 11 10 07
VEMP_CVHSA 26 12 09 07 06
VEMP_SARS2 17 13 12 10 07
ORF9B_SARS2 17 16 15 10 10
ORF9B_CVHSA 13 11 11 11 08
PHB_HUMAN 17 15 14 11 10
PHB2_HUMAN 18 15 14 11 09
